0.000	 0.000	 1.000	 0.000	 0.000	 2.000	 3.000	 0.000	 0.000	 2.000	 2.000	 4.000	 10.000	 14.000	 17.000	 12.000	 20.000	 13.000	 18.000	 9.000	 11.000	 15.000	 10.000	 8.000	 7.000	 12.000	 17.000	 16.000	 13.000	 21.000	 13.000	 11.000	 13.000	 17.000	 10.000	 12.000	 12.000	 14.000	 7.000	 6.000	 13.000	 8.000	 12.000	 14.000	 13.000	 14.000	 12.000	 11.000	 10.000	 5.000	 9.000	 9.000	 7.000	 2.000	 3.000	 2.000	 1.000	 0.000	 0.000	 1.000	 0.000	
1.000	 3.000	 2.000	 0.000	 0.000	 0.000	 3.000	 0.000	 4.000	 4.000	 1.000	 1.000	 7.000	 19.000	 19.000	 15.000	 14.000	 13.000	 16.000	 14.000	 20.000	 16.000	 10.000	 15.000	 17.000	 13.000	 16.000	 13.000	 15.000	 10.000	 15.000	 12.000	 8.000	 13.000	 13.000	 10.000	 13.000	 13.000	 17.000	 14.000	 14.000	 7.000	 14.000	 13.000	 8.000	 10.000	 9.000	 13.000	 9.000	 11.000	 12.000	 10.000	 5.000	 5.000	 3.000	 1.000	 0.000	 0.000	 0.000	 1.000	 0.000	
1.000	 1.000	 0.000	 0.000	 2.000	 1.000	 3.000	 2.000	 2.000	 3.000	 1.000	 1.000	 6.000	 9.000	 4.000	 4.000	 3.000	 3.000	 0.000	 3.000	 6.000	 3.000	 2.000	 4.000	 4.000	 4.000	 3.000	 7.000	 2.000	 4.000	 4.000	 1.000	 4.000	 3.000	 3.000	 5.000	 2.000	 2.000	 6.000	 1.000	 5.000	 2.000	 2.000	 4.000	 4.000	 2.000	 4.000	 1.000	 2.000	 0.000	 1.000	 0.000	 3.000	 6.000	 0.000	 3.000	 2.000	 0.000	 1.000	 0.000	 0.000	
0.000	 0.000	 1.000	 0.000	 0.000	 1.000	 1.000	 0.000	 0.000	 0.000	 0.000	 0.000	 3.000	 7.000	 6.000	 4.000	 8.000	 6.000	 4.000	 7.000	 4.000	 4.000	 7.000	 6.000	 4.000	 6.000	 7.000	 5.000	 6.000	 3.000	 4.000	 1.000	 2.000	 4.000	 3.000	 5.000	 3.000	 3.000	 4.000	 2.000	 4.000	 3.000	 6.000	 3.000	 4.000	 2.000	 1.000	 4.000	 2.000	 2.000	 4.000	 3.000	 0.000	 0.000	 0.000	 1.000	 0.000	 1.000	 1.000	 2.000	 0.000	
5.000	 3.000	 4.000	 4.000	 3.000	 3.000	 1.000	 3.000	 4.000	 1.000	 1.000	 3.000	 10.000	 17.000	 10.000	 12.000	 13.000	 10.000	 10.000	 9.000	 10.000	 13.000	 12.000	 7.000	 6.000	 13.000	 12.000	 11.000	 11.000	 9.000	 11.000	 16.000	 10.000	 7.000	 9.000	 8.000	 11.000	 10.000	 11.000	 12.000	 12.000	 6.000	 5.000	 10.000	 8.000	 6.000	 11.000	 6.000	 7.000	 7.000	 11.000	 6.000	 8.000	 9.000	 5.000	 5.000	 2.000	 2.000	 5.000	 2.000	 0.000	
1.000	 2.000	 1.000	 2.000	 3.000	 3.000	 3.000	 1.000	 1.000	 2.000	 2.000	 3.000	 4.000	 6.000	 6.000	 6.000	 8.000	 7.000	 7.000	 11.000	 8.000	 11.000	 14.000	 14.000	 8.000	 9.000	 9.000	 9.000	 4.000	 6.000	 3.000	 5.000	 2.000	 3.000	 3.000	 6.000	 3.000	 4.000	 3.000	 5.000	 10.000	 9.000	 4.000	 6.000	 4.000	 6.000	 4.000	 4.000	 4.000	 3.000	 8.000	 3.000	 2.000	 1.000	 4.000	 0.000	 0.000	 0.000	 3.000	 2.000	 0.000	
2.000	 2.000	 1.000	 2.000	 1.000	 0.000	 0.000	 0.000	 0.000	 1.000	 2.000	 0.000	 0.000	 3.000	 11.000	 14.000	 16.000	 13.000	 13.000	 17.000	 7.000	 7.000	 8.000	 9.000	 8.000	 9.000	 7.000	 9.000	 11.000	 5.000	 1.000	 2.000	 4.000	 5.000	 2.000	 3.000	 1.000	 2.000	 1.000	 4.000	 1.000	 3.000	 3.000	 3.000	 5.000	 3.000	 2.000	 1.000	 1.000	 2.000	 1.000	 0.000	 0.000	 0.000	 0.000	 2.000	 1.000	 0.000	 1.000	 0.000	 0.000	
4.000	 2.000	 2.000	 4.000	 2.000	 1.000	 1.000	 1.000	 0.000	 0.000	 1.000	 1.000	 4.000	 17.000	 10.000	 5.000	 12.000	 11.000	 16.000	 13.000	 12.000	 5.000	 7.000	 5.000	 15.000	 13.000	 12.000	 15.000	 6.000	 3.000	 8.000	 7.000	 9.000	 15.000	 13.000	 21.000	 8.000	 3.000	 4.000	 2.000	 12.000	 12.000	 12.000	 16.000	 8.000	 8.000	 2.000	 5.000	 7.000	 12.000	 14.000	 15.000	 3.000	 3.000	 4.000	 2.000	 2.000	 2.000	 2.000	 3.000	 0.000	
3.000	 2.000	 5.000	 4.000	 2.000	 1.000	 2.000	 0.000	 3.000	 1.000	 3.000	 2.000	 6.000	 4.000	 9.000	 10.000	 9.000	 12.000	 10.000	 12.000	 13.000	 11.000	 10.000	 11.000	 15.000	 10.000	 11.000	 9.000	 11.000	 9.000	 8.000	 7.000	 7.000	 5.000	 12.000	 4.000	 7.000	 7.000	 4.000	 7.000	 5.000	 5.000	 3.000	 4.000	 2.000	 3.000	 3.000	 1.000	 2.000	 2.000	 2.000	 3.000	 3.000	 5.000	 1.000	 1.000	 3.000	 1.000	 1.000	 1.000	 0.000	
3.000	 4.000	 1.000	 3.000	 3.000	 3.000	 0.000	 2.000	 3.000	 0.000	 1.000	 1.000	 1.000	 4.000	 14.000	 2.000	 3.000	 4.000	 2.000	 4.000	 3.000	 2.000	 1.000	 4.000	 3.000	 1.000	 4.000	 0.000	 3.000	 2.000	 0.000	 3.000	 1.000	 2.000	 4.000	 1.000	 4.000	 6.000	 3.000	 5.000	 4.000	 2.000	 7.000	 9.000	 2.000	 5.000	 4.000	 5.000	 3.000	 3.000	 4.000	 3.000	 3.000	 2.000	 2.000	 4.000	 1.000	 0.000	 1.000	 0.000	 0.000	
1.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 1.000	 1.000	 1.000	 0.000	 1.000	 0.000	 0.000	 0.000	 1.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 1.000	 1.000	 3.000	 4.000	 2.000	 3.000	 3.000	 2.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 1.000	 2.000	 3.000	 2.000	 2.000	 0.000	 1.000	 0.000	 1.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	
4.000	 6.000	 2.000	 5.000	 9.000	 8.000	 11.000	 13.000	 12.000	 10.000	 7.000	 11.000	 11.000	 17.000	 21.000	 17.000	 25.000	 19.000	 21.000	 23.000	 16.000	 20.000	 22.000	 19.000	 21.000	 18.000	 19.000	 22.000	 19.000	 18.000	 17.000	 27.000	 17.000	 18.000	 20.000	 22.000	 20.000	 18.000	 21.000	 20.000	 17.000	 16.000	 14.000	 18.000	 10.000	 18.000	 22.000	 18.000	 21.000	 17.000	 23.000	 17.000	 17.000	 10.000	 6.000	 5.000	 1.000	 1.000	 0.000	 0.000	 1.000	
8.000	 6.000	 7.000	 10.000	 6.000	 3.000	 6.000	 1.000	 3.000	 5.000	 5.000	 9.000	 10.000	 13.000	 11.000	 17.000	 16.000	 16.000	 24.000	 17.000	 21.000	 20.000	 20.000	 17.000	 16.000	 17.000	 15.000	 20.000	 17.000	 16.000	 17.000	 17.000	 20.000	 12.000	 11.000	 15.000	 17.000	 19.000	 15.000	 16.000	 13.000	 19.000	 17.000	 17.000	 19.000	 14.000	 12.000	 23.000	 16.000	 15.000	 14.000	 10.000	 13.000	 14.000	 15.000	 11.000	 6.000	 5.000	 8.000	 8.000	 0.000	
12.000	 13.000	 8.000	 12.000	 10.000	 10.000	 9.000	 7.000	 5.000	 6.000	 3.000	 7.000	 7.000	 16.000	 14.000	 11.000	 22.000	 20.000	 16.000	 20.000	 19.000	 12.000	 14.000	 12.000	 18.000	 17.000	 16.000	 21.000	 15.000	 15.000	 10.000	 4.000	 17.000	 16.000	 14.000	 18.000	 13.000	 8.000	 8.000	 9.000	 14.000	 13.000	 18.000	 15.000	 13.000	 12.000	 10.000	 9.000	 19.000	 15.000	 16.000	 17.000	 8.000	 8.000	 4.000	 3.000	 6.000	 11.000	 7.000	 7.000	 0.000	
8.000	 4.000	 7.000	 5.000	 8.000	 9.000	 5.000	 2.000	 4.000	 6.000	 5.000	 8.000	 9.000	 20.000	 17.000	 18.000	 20.000	 11.000	 19.000	 12.000	 14.000	 15.000	 16.000	 12.000	 9.000	 15.000	 15.000	 13.000	 12.000	 14.000	 8.000	 15.000	 18.000	 17.000	 16.000	 14.000	 14.000	 12.000	 10.000	 8.000	 13.000	 8.000	 15.000	 10.000	 12.000	 9.000	 11.000	 17.000	 15.000	 14.000	 14.000	 11.000	 5.000	 8.000	 6.000	 3.000	 3.000	 3.000	 2.000	 1.000	 0.000	
0.000	 2.000	 3.000	 0.000	 3.000	 1.000	 4.000	 2.000	 0.000	 2.000	 0.000	 0.000	 1.000	 7.000	 15.000	 14.000	 9.000	 11.000	 10.000	 7.000	 11.000	 5.000	 5.000	 8.000	 7.000	 9.000	 7.000	 5.000	 9.000	 13.000	 10.000	 7.000	 12.000	 8.000	 13.000	 11.000	 9.000	 12.000	 9.000	 6.000	 4.000	 9.000	 8.000	 6.000	 10.000	 12.000	 13.000	 14.000	 11.000	 12.000	 9.000	 6.000	 4.000	 0.000	 1.000	 0.000	 1.000	 2.000	 0.000	 0.000	 0.000	
6.000	 11.000	 10.000	 7.000	 3.000	 5.000	 6.000	 9.000	 7.000	 10.000	 11.000	 11.000	 10.000	 17.000	 19.000	 17.000	 18.000	 13.000	 14.000	 12.000	 18.000	 15.000	 16.000	 18.000	 11.000	 17.000	 15.000	 18.000	 18.000	 16.000	 17.000	 19.000	 14.000	 15.000	 20.000	 14.000	 15.000	 13.000	 18.000	 13.000	 18.000	 12.000	 16.000	 11.000	 13.000	 17.000	 14.000	 16.000	 13.000	 12.000	 16.000	 16.000	 13.000	 8.000	 10.000	 7.000	 10.000	 9.000	 9.000	 6.000	 0.000	
0.000	 0.000	 0.000	 0.000	 1.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 17.000	 16.000	 19.000	 24.000	 19.000	 19.000	 18.000	 22.000	 15.000	 24.000	 18.000	 11.000	 11.000	 14.000	 18.000	 18.000	 20.000	 19.000	 22.000	 14.000	 17.000	 12.000	 20.000	 18.000	 16.000	 15.000	 14.000	 11.000	 13.000	 15.000	 18.000	 17.000	 25.000	 18.000	 18.000	 15.000	 15.000	 18.000	 15.000	 15.000	 12.000	 4.000	 2.000	 3.000	 2.000	 3.000	 3.000	 2.000	 0.000	
